id,source_unique_tokens,source_word_count,source_line_count,mean_text_only_neighbor_cosine_similarity,mean_demographics_only_neighbor_cosine_similarity,mean_combined_neighbor_cosine_similarity,add_count_observed,add_count_marginal_crps,add_count_text_only_crps,add_count_demographics_only_crps,add_count_combined_crps,delete_count_observed,delete_count_marginal_crps,delete_count_text_only_crps,delete_count_demographics_only_crps,delete_count_combined_crps,word_count_observed,word_count_marginal_crps,word_count_text_only_crps,word_count_demographics_only_crps,word_count_combined_crps,line_count_observed,line_count_marginal_crps,line_count_text_only_crps,line_count_demographics_only_crps,line_count_combined_crps,source_similarity_observed,source_similarity_marginal_crps,source_similarity_text_only_crps,source_similarity_demographics_only_crps,source_similarity_combined_crps
train_0092,32,33,1,0.122251,0.352963,0.130098,81.000000,30.935228,31.058115,31.007776,31.007432,22.000000,1.464393,1.608718,1.415123,1.569128,152.000000,86.341831,90.523236,91.765377,92.920226,1.000000,0.541462,0.964460,0.302012,0.675151,0.075676,0.061874,0.062838,0.078091,0.065194
train_0093,23,26,2,0.122306,0.354081,0.128622,34.000000,6.112022,6.257797,6.479789,6.381210,17.000000,0.767917,0.896013,0.704050,0.857189,88.000000,37.568353,42.830270,32.508937,40.375605,20.000000,12.734607,13.021997,13.411346,12.593401,0.157895,0.033290,0.042558,0.035305,0.044764
train_0094,69,112,20,0.219052,0.325509,0.216547,21.000000,7.868700,8.893808,9.949893,9.046871,63.000000,6.687154,5.750198,7.867561,5.961022,30.000000,51.187874,39.612607,62.840220,41.200248,1.000000,14.300347,12.733447,14.766709,12.825276,0.070423,0.065314,0.082246,0.066339,0.085468
train_0095,90,143,1,0.175797,0.417595,0.178547,59.000000,15.381875,13.421126,16.131031,13.418712,75.000000,4.391566,4.146852,4.689508,4.156635,123.000000,16.694969,16.525117,18.197055,16.547922,1.000000,0.541462,0.384255,0.531492,0.383022,0.142857,0.035505,0.029715,0.030440,0.029674
train_0096,52,90,1,0.184315,0.547631,0.186505,40.000000,7.193054,8.502148,7.426823,8.151942,39.000000,1.685202,1.871012,2.025913,1.819798,95.000000,14.274807,13.400918,17.171439,14.038998,1.000000,0.541462,0.884118,0.324329,0.883542,0.216216,0.037945,0.034082,0.039033,0.033430
train_0097,28,66,1,0.182318,0.464445,0.189308,12.000000,14.125175,12.522386,13.092780,11.948191,18.000000,1.889176,1.553161,1.942335,1.558104,40.000000,17.585649,15.066809,15.289220,14.569193,10.000000,6.176343,6.045987,6.546589,6.216978,0.377358,0.125921,0.108694,0.142079,0.109899
train_0098,118,270,1,0.179387,0.401984,0.182298,1.000000,24.300392,27.058006,23.947670,26.903071,115.000000,17.706919,19.163145,20.271010,19.173811,4.000000,221.563623,208.230656,237.383545,208.479154,1.000000,0.541462,0.594175,0.660435,0.598266,0.021898,0.104287,0.116656,0.121422,0.116580
train_0099,61,126,20,0.166945,0.443584,0.169326,94.000000,42.461736,41.608408,44.061877,41.029906,47.000000,2.004555,2.072711,2.292171,2.122570,164.000000,25.513130,35.172471,28.977020,32.766443,1.000000,14.300347,14.009303,13.530711,14.138584,0.179310,0.032515,0.037638,0.034102,0.039798
train_0100,20,27,1,0.150172,0.473936,0.165873,3.000000,22.327508,20.307158,19.042554,19.242135,18.000000,1.745987,2.258084,1.759017,2.395055,5.000000,14.146029,16.418945,12.272516,16.330162,1.000000,0.541462,0.746640,0.565705,0.610436,0.062500,0.070968,0.106190,0.067792,0.101868
train_0101,42,58,1,0.159972,0.329408,0.161613,36.000000,6.382280,6.323132,7.258076,6.402051,36.000000,2.532891,2.423599,2.941512,2.606285,74.000000,15.773839,17.699906,15.500284,16.990089,20.000000,13.432773,12.495343,12.674230,12.918725,0.090909,0.053878,0.053689,0.060450,0.055638
