id,source_unique_tokens,observed_addition_budget,reachable_observed_additions,reachable_fraction,marginal_hits,marginal_recovered_fraction,source_conditioned_hits,source_conditioned_recovered_fraction,conditioned_minus_marginal
train_0134,80,29,18,0.620690,4,0.137931,4,0.137931,0.000000
train_0135,46,68,50,0.735294,20,0.294118,18,0.264706,-0.029412
train_0136,65,20,14,0.700000,1,0.050000,0,0.000000,-0.050000
train_0137,77,30,23,0.766667,4,0.133333,2,0.066667,-0.066667
train_0138,23,19,15,0.789474,1,0.052632,0,0.000000,-0.052632
train_0139,41,40,32,0.800000,11,0.275000,12,0.300000,0.025000
train_0140,12,18,17,0.944444,3,0.166667,3,0.166667,0.000000
train_0141,64,25,20,0.800000,2,0.080000,2,0.080000,0.000000
train_0142,85,60,40,0.666667,10,0.166667,7,0.116667,-0.050000
train_0143,85,26,20,0.769231,1,0.038462,1,0.038462,0.000000
train_0144,130,19,9,0.473684,0,0.000000,0,0.000000,0.000000
train_0145,48,49,40,0.816327,14,0.285714,14,0.285714,0.000000
train_0146,61,5,5,1.000000,0,0.000000,0,0.000000,0.000000
train_0147,156,52,30,0.576923,7,0.134615,4,0.076923,-0.057692
train_0148,30,43,33,0.767442,12,0.279070,9,0.209302,-0.069767
train_0149,49,21,15,0.714286,1,0.047619,1,0.047619,0.000000
train_0150,94,68,51,0.750000,10,0.147059,8,0.117647,-0.029412
