id,source_unique_tokens,source_word_count,source_line_count,mean_source_form_neighbor_similarity,mean_text_only_neighbor_cosine_similarity,add_count_observed,add_count_marginal_crps,add_count_source_form_only_crps,add_count_text_only_crps,delete_count_observed,delete_count_marginal_crps,delete_count_source_form_only_crps,delete_count_text_only_crps,word_count_observed,word_count_marginal_crps,word_count_source_form_only_crps,word_count_text_only_crps,line_count_observed,line_count_marginal_crps,line_count_source_form_only_crps,line_count_text_only_crps,source_similarity_observed,source_similarity_marginal_crps,source_similarity_source_form_only_crps,source_similarity_text_only_crps
train_0124,11,12,6,0.372061,0.106132,81.000000,30.935228,36.342616,33.872371,6.000000,1.598827,1.560155,1.300504,141.000000,92.648619,82.143593,96.182505,1.000000,3.747174,4.023143,3.241217,0.078431,0.060161,0.036607,0.075808
train_0125,26,26,20,0.511739,0.056879,49.000000,10.273997,13.100570,9.714878,24.000000,2.727693,3.385361,2.548083,70.000000,25.866177,19.387340,24.908023,1.000000,14.300347,12.104803,13.030553,0.041667,0.087090,0.087129,0.084506
train_0126,21,48,1,0.599501,0.165620,14.000000,12.476600,11.047174,10.219116,19.000000,1.904905,2.209457,2.660145,17.000000,18.623981,25.541728,17.732219,1.000000,0.541462,1.218333,0.615667,0.061538,0.071670,0.068182,0.121164
train_0127,25,26,5,0.485645,0.101312,23.000000,7.071438,5.745945,6.996054,15.000000,2.443307,2.337442,2.023055,38.000000,12.610018,11.169496,13.172532,12.000000,5.068015,4.721053,5.303675,0.187500,0.032767,0.036310,0.035675
train_0128,77,123,20,0.670719,0.181940,21.000000,7.868700,8.378405,7.034774,74.000000,10.589345,9.395442,10.273956,24.000000,64.758705,57.137495,47.677565,1.000000,14.300347,10.126479,15.199445,0.027211,0.099439,0.111103,0.121453
train_0129,27,56,1,0.652198,0.183880,17.000000,10.233458,8.909897,8.487418,19.000000,1.093972,1.003956,0.885007,29.000000,17.595018,21.275014,15.344778,1.000000,0.541462,1.369741,0.748985,0.188235,0.032847,0.031619,0.045144
train_0130,22,40,1,0.629359,0.144526,28.000000,6.017432,5.017576,5.551432,15.000000,1.054395,1.034700,0.671533,78.000000,23.732805,18.983799,20.451942,20.000000,13.432773,11.933723,13.385623,0.203390,0.035172,0.037572,0.036407
train_0131,103,187,1,0.636305,0.204738,26.000000,6.233638,7.978939,7.406626,81.000000,3.602008,3.345351,3.432672,94.000000,59.934733,46.397081,39.496300,1.000000,0.541462,0.704481,0.398013,0.327402,0.089036,0.081964,0.086364
train_0132,42,71,20,0.629422,0.173883,26.000000,6.233638,5.786004,4.859080,37.000000,3.132078,3.561036,3.354374,36.000000,20.991982,20.827526,19.113948,10.000000,7.584433,5.688604,7.748631,0.074766,0.062451,0.078090,0.072925
train_0133,60,76,1,0.711487,0.172071,53.000000,12.138778,12.670495,10.926835,46.000000,1.956187,2.026629,1.802306,94.000000,16.821224,16.936162,24.302362,1.000000,0.541462,1.077661,0.287373,0.188235,0.032847,0.029403,0.030672
